Date,Shares Outstanding (Millions)
04/30/25,"8051"
01/31/25,"8081"
10/31/24,"8082"
07/31/24,"8081"
04/30/24,"8084"
01/31/24,"8108"
10/31/23,"8110"
07/31/23,"8108"
04/30/23,"8112"
01/31/23,"8202"
10/31/22,"8133"
07/31/22,"8235"
04/30/22,"8295"
01/31/22,"8415"
10/31/21,"8391"
07/31/21,"8436"
04/30/21,"8487"
01/31/21,"8541"
10/31/20,"8547"
07/31/20,"8544"
04/30/20,"8547"
01/31/20,"8604"
10/31/19,"8583"
07/31/19,"8607"
04/30/19,"8658"
01/31/19,"8835"
10/31/18,"8823"
07/31/18,"8838"
04/30/18,"8901"
01/31/18,"9030"
10/31/17,"8988"
07/31/17,"9063"
04/30/17,"9141"
01/31/17,"9336"
10/31/16,"9300"
07/31/16,"9357"
04/30/16,"9462"
01/31/16,"9651"
10/31/15,"9657"
07/31/15,"9693"
04/30/15,"9729"
01/31/15,"9729"
10/31/14,"9720"
07/31/14,"9723"
04/30/14,"9744"
01/31/14,"9849"
10/31/13,"9813"
07/31/13,"9873"
04/30/13,"9954"
01/31/13,"10167"
10/31/12,"10137"
07/31/12,"10194"
04/30/12,"10275"
01/31/12,"10422"
10/31/11,"10374"
07/31/11,"10455"
04/30/11,"10539"
01/31/11,"11010"
10/31/10,"10893"
07/31/10,"11121"
04/30/10,"11343"
01/31/10,"11631"
10/31/09,"11583"
07/31/09,"11700"
04/30/09,"11790"
01/31/09,"11853"
